stem,association,high_freq,low_freq,ratio
مسلما,positive/low_proxy,13,35,2.6923076923076925
نهال,positive/low_proxy,6,26,4.333333333333333
پرتوقع,positive/low_proxy,9,20,2.2222222222222223
تربیت,positive/low_proxy,32,79,2.46875
برکه,positive/low_proxy,5,25,5.0
حنا,positive/low_proxy,30,84,2.8
همبر,positive/low_proxy,5,17,3.4
قدو,positive/low_proxy,2,10,5.0
کرچک,positive/low_proxy,2,20,10.0
اصلشو,positive/low_proxy,0,17,inf
ویرای,positive/low_proxy,5,20,4.0
نمی‌دان,positive/low_proxy,11,26,2.3636363636363638
شباه,positive/low_proxy,9,21,2.3333333333333335
آویزون,positive/low_proxy,27,55,2.037037037037037
اجرتون,positive/low_proxy,4,42,10.5
حالته,positive/low_proxy,5,14,2.8
شکم‌گنده,positive/low_proxy,3,18,6.0
دیانا,positive/low_proxy,1,17,17.0
نیکا,positive/low_proxy,0,16,inf
تمنا,positive/low_proxy,2,13,6.5
مرغه,positive/low_proxy,2,12,6.0
حبوب,positive/low_proxy,26,55,2.1153846153846154
بمال,positive/low_proxy,21,45,2.142857142857143
مرطوب‌کننده,positive/low_proxy,18,55,3.0555555555555554
انع,positive/low_proxy,5,25,5.0
چشاتو,positive/low_proxy,3,15,5.0
سردختر,positive/low_proxy,8,25,3.125
ابگوش,positive/low_proxy,6,27,4.5
ژنه,positive/low_proxy,3,19,6.333333333333333
ترتیب,positive/low_proxy,9,22,2.4444444444444446
حالیشون,positive/low_proxy,6,14,2.3333333333333335
نپو,positive/low_proxy,13,30,2.3076923076923075
اسرا,positive/low_proxy,2,32,16.0
آتنا,positive/low_proxy,3,20,6.666666666666667
صداق,positive/low_proxy,7,15,2.142857142857143
شناختن,positive/low_proxy,4,11,2.75
پریسا,positive/low_proxy,2,13,6.5
آبان,positive/low_proxy,2,13,6.5
چشما,positive/low_proxy,4,10,2.5
فلش,positive/low_proxy,8,20,2.5
تزی,positive/low_proxy,3,13,4.333333333333333
پرتغال,positive/low_proxy,11,23,2.090909090909091
دلنش,positive/low_proxy,4,12,3.0
ننوشت,positive/low_proxy,6,13,2.1666666666666665
اروپا,positive/low_proxy,11,25,2.272727272727273
بلایک,positive/low_proxy,2,24,12.0
محلشون,positive/low_proxy,5,13,2.6
یخی,positive/low_proxy,5,12,2.4
نوا,positive/low_proxy,1,10,10.0
سفکس,positive/low_proxy,13,29,2.230769230769231
صلاحتون,positive/low_proxy,1,10,10.0
ببینی,positive/low_proxy,10,23,2.3
بیش‌فعال,positive/low_proxy,18,40,2.2222222222222223
جنب,positive/low_proxy,7,15,2.142857142857143
اسمای,positive/low_proxy,7,25,3.5714285714285716
طا,positive/low_proxy,4,12,3.0
آیناز,positive/low_proxy,1,11,11.0
دیار,positive/low_proxy,1,29,29.0
وهم,positive/low_proxy,15,37,2.466666666666667
نوت,positive/low_proxy,7,16,2.2857142857142856
پرته,positive/low_proxy,8,20,2.5
دیس,positive/low_proxy,4,10,2.5
جوش‌شیر,positive/low_proxy,15,65,4.333333333333333
کابینت,positive/low_proxy,5,13,2.6
اجیل,positive/low_proxy,14,50,3.5714285714285716
کوی,positive/low_proxy,2,10,5.0
دنبالش,positive/low_proxy,4,12,3.0
بجو,positive/low_proxy,7,21,3.0
پسرن,positive/low_proxy,16,34,2.125
فیکه,positive/low_proxy,15,31,2.066666666666667
چهارماهگ,positive/low_proxy,8,22,2.75
همینجوریش,positive/low_proxy,4,10,2.5
سیما,positive/low_proxy,6,21,3.5
مچکر,positive/low_proxy,5,24,4.8
لطفتون,positive/low_proxy,3,14,4.666666666666667
عناب,positive/low_proxy,13,44,3.3846153846153846
آویشن,positive/low_proxy,15,45,3.0
پونه,positive/low_proxy,15,58,3.8666666666666667
ادامس,positive/low_proxy,2,15,7.5
بزنگ,positive/low_proxy,4,11,2.75
مراجع,positive/low_proxy,11,27,2.4545454545454546
مدیکور,positive/low_proxy,6,14,2.3333333333333335
اکتفا,positive/low_proxy,10,23,2.3
لزوم,positive/low_proxy,16,39,2.4375
عزیزج,positive/low_proxy,4,23,5.75
ترمیم,positive/low_proxy,6,13,2.1666666666666665
کلک,positive/low_proxy,10,21,2.1
آبرس,positive/low_proxy,17,54,3.176470588235294
نهه,positive/low_proxy,5,16,3.2
نمی‌پسند,positive/low_proxy,10,50,5.0
آبمیوه,positive/low_proxy,27,57,2.111111111111111
مبخورد,positive/low_proxy,2,12,6.0
هیجده,positive/low_proxy,8,20,2.5
نریزه,positive/low_proxy,6,16,2.6666666666666665
جانا,positive/low_proxy,0,24,inf
کارش,positive/low_proxy,5,14,2.8
نخاد,positive/low_proxy,10,22,2.2
سرمای,positive/low_proxy,9,19,2.111111111111111
جادوی,positive/low_proxy,3,10,3.3333333333333335
شازده,positive/low_proxy,0,10,inf
روتین,positive/low_proxy,4,10,2.5
ستای,positive/low_proxy,3,10,3.3333333333333335
دورو,positive/low_proxy,12,34,2.8333333333333335
لای,positive/low_proxy,13,31,2.3846153846153846
درکنار,positive/low_proxy,9,29,3.2222222222222223
پیاما,positive/low_proxy,8,18,2.25
میخر,positive/low_proxy,4,10,2.5
گردنب,positive/low_proxy,6,20,3.3333333333333335
بدوز,positive/low_proxy,12,43,3.5833333333333335
بعل,positive/low_proxy,13,29,2.230769230769231
خوبع,positive/low_proxy,5,22,4.4
لری,positive/low_proxy,2,15,7.5
کمیاب,positive/low_proxy,1,12,12.0
دهنشون,positive/low_proxy,11,31,2.8181818181818183
ام‌اس,positive/low_proxy,4,11,2.75
دوستاشو,positive/low_proxy,5,11,2.2
عیاد,positive/low_proxy,2,10,5.0
نیستاا,positive/low_proxy,4,11,2.75
کوبیده,positive/low_proxy,10,25,2.5
روشن‌فکر,positive/low_proxy,4,13,3.25
پسرمن,positive/low_proxy,10,27,2.7
ابمیوه,positive/low_proxy,17,36,2.1176470588235294
تمام‌شده,positive/low_proxy,5,13,2.6
مهمتره,positive/low_proxy,21,48,2.2857142857142856
پیاله,positive/low_proxy,6,13,2.1666666666666665
اصال,positive/low_proxy,2,13,6.5
هشتاد,positive/low_proxy,20,44,2.2
مامان‌بزرگ,positive/low_proxy,6,16,2.6666666666666665
هم‌نظر,positive/low_proxy,5,17,3.4
گنج,positive/low_proxy,2,13,6.5
سرک,positive/low_proxy,5,14,2.8
بوت,positive/low_proxy,6,13,2.1666666666666665
سلط,positive/low_proxy,4,10,2.5
نیاسینام,positive/low_proxy,8,18,2.25
بهره,positive/low_proxy,4,12,3.0
معجون,positive/low_proxy,5,24,4.8
صبا,positive/low_proxy,10,32,3.2
ارده,positive/low_proxy,15,31,2.066666666666667
بی‌شک,positive/low_proxy,6,13,2.1666666666666665
پور,positive/low_proxy,16,33,2.0625
ترد,positive/low_proxy,22,47,2.1363636363636362
پاک‌کن,positive/low_proxy,20,61,3.05
بپیچه,positive/low_proxy,6,13,2.1666666666666665
محور,positive/low_proxy,4,11,2.75
تاحدود,positive/low_proxy,3,11,3.6666666666666665
محشر,positive/low_proxy,5,13,2.6
آموزشگاه,positive/low_proxy,10,24,2.4
موثره,positive/low_proxy,26,72,2.769230769230769
افسانه,positive/low_proxy,6,23,3.8333333333333335
حشره,positive/low_proxy,3,10,3.3333333333333335
گاوزب,positive/low_proxy,3,13,4.333333333333333
رزمار,positive/low_proxy,5,17,3.4
مینا,positive/low_proxy,4,14,3.5
بچهامون,positive/low_proxy,0,10,inf
سنگینیه,positive/low_proxy,5,15,3.0
دلگر,positive/low_proxy,2,15,7.5
تصحیح,positive/low_proxy,2,14,7.0
تامیتون,positive/low_proxy,3,10,3.3333333333333335
شیکه,positive/low_proxy,5,34,6.8
باشخصی,positive/low_proxy,2,11,5.5
میزار,positive/low_proxy,2,13,6.5
راجبه,positive/low_proxy,7,16,2.2857142857142856
خربزه,positive/low_proxy,21,63,3.0
ناموسا,positive/low_proxy,4,10,2.5
اکستنشن,positive/low_proxy,7,20,2.857142857142857
سمانه,positive/low_proxy,4,13,3.25
شسته,positive/low_proxy,10,25,2.5
کیش,positive/low_proxy,6,15,2.5
آبپز,positive/low_proxy,16,35,2.1875
داشتنه,positive/low_proxy,6,13,2.1666666666666665
ناس,positive/low_proxy,4,14,3.5
سما,positive/low_proxy,7,16,2.2857142857142856
نخریدن,positive/low_proxy,6,17,2.8333333333333335
وقتتو,positive/low_proxy,6,22,3.6666666666666665
ابلیمو,positive/low_proxy,8,52,6.5
سدم,positive/low_proxy,6,14,2.3333333333333335
وااقعا,positive/low_proxy,5,11,2.2
رفیقش,positive/low_proxy,2,10,5.0
دوستانه,positive/low_proxy,10,36,3.6
پارن,positive/low_proxy,2,19,9.5
می‌بوس,positive/low_proxy,4,10,2.5
کراپ,positive/low_proxy,3,10,3.3333333333333335
درهرصور,positive/low_proxy,5,13,2.6
گوساله,positive/low_proxy,8,20,2.5
خواجه,positive/low_proxy,2,12,6.0
فرما,positive/low_proxy,1,14,14.0
ریاضی,positive/low_proxy,3,15,5.0
خیاب,positive/low_proxy,8,21,2.625
خواص,positive/low_proxy,10,34,3.4
فرهنگ‌ساز,positive/low_proxy,4,14,3.5
مقویه,positive/low_proxy,4,13,3.25
لالای,positive/low_proxy,3,11,3.6666666666666665
مسن,positive/low_proxy,7,19,2.7142857142857144
بختیار,positive/low_proxy,5,14,2.8
