rank,threshold_low_moderate,threshold_moderate_high,threshold_high_very_high,accuracy,macro_f1,low_precision,moderate_precision,high_precision,very_high_precision,low_recall,moderate_recall,high_recall,very_high_recall
50,2.6654838638575002,4.905160815295,6.4621351159455,0.7300884955752213,0.6658597796639603,0.9395161290322581,0.3543307086614173,0.6226415094339622,0.7916666666666666,0.7845117845117845,0.6716417910447762,0.5238095238095238,0.76
51,3.06409478344,4.878916341613,6.4621351159455,0.75,0.6658580387734726,0.9188191881918819,0.36893203883495146,0.6111111111111112,0.7916666666666666,0.8383838383838383,0.5671641791044776,0.5238095238095238,0.76
52,3.159439791254,4.878916341613,6.4621351159455,0.7588495575221239,0.665731479243281,0.9110320284697508,0.3763440860215054,0.6111111111111112,0.7916666666666666,0.8619528619528619,0.5223880597014925,0.5238095238095238,0.76
53,2.7104411104395,4.905160815295,6.4621351159455,0.7323008849557522,0.665718234798212,0.9362549800796812,0.3548387096774194,0.6226415094339622,0.7916666666666666,0.7912457912457912,0.6567164179104478,0.5238095238095238,0.76
54,2.885157037645,4.878916341613,6.4621351159455,0.7411504424778761,0.6656379590711388,0.9272030651340997,0.36283185840707965,0.6111111111111112,0.7916666666666666,0.8148148148148148,0.6119402985074627,0.5238095238095238,0.76
55,3.159439791254,4.9254948908195,6.4621351159455,0.7588495575221239,0.6655723841113598,0.9110320284697508,0.37894736842105264,0.6153846153846154,0.7916666666666666,0.8619528619528619,0.5373134328358209,0.5079365079365079,0.76
56,3.06409478344,4.9254948908195,6.4621351159455,0.75,0.6655702196713431,0.9188191881918819,0.37142857142857144,0.6153846153846154,0.7916666666666666,0.8383838383838383,0.582089552238806,0.5079365079365079,0.76
57,2.7880185324285,4.905160815295,6.4621351159455,0.7345132743362832,0.665544153329556,0.9330708661417323,0.35537190082644626,0.6226415094339622,0.7916666666666666,0.797979797979798,0.6417910447761194,0.5238095238095238,0.76
58,3.1048558893065,4.878916341613,6.4621351159455,0.7522123893805309,0.665471477541608,0.916058394160584,0.37,0.6111111111111112,0.7916666666666666,0.8451178451178452,0.5522388059701493,0.5238095238095238,0.76
59,2.8436372276029998,4.9254948908195,6.4621351159455,0.7389380530973452,0.6654404182354493,0.9302325581395349,0.3644067796610169,0.6153846153846154,0.7916666666666666,0.8080808080808081,0.6417910447761194,0.5079365079365079,0.76
60,2.9573479003565,4.878916341613,6.4621351159455,0.7433628318584071,0.665366348032635,0.9242424242424242,0.36363636363636365,0.6111111111111112,0.7916666666666666,0.8215488215488216,0.5970149253731343,0.5238095238095238,0.76
61,2.885157037645,4.9254948908195,6.4621351159455,0.7411504424778761,0.665238479323833,0.9272030651340997,0.3652173913043478,0.6153846153846154,0.7916666666666666,0.8148148148148148,0.6268656716417911,0.5079365079365079,0.76
62,3.1048558893065,4.9254948908195,6.4621351159455,0.7522123893805309,0.6652238636877618,0.916058394160584,0.37254901960784315,0.6153846153846154,0.7916666666666666,0.8451178451178452,0.5671641791044776,0.5079365079365079,0.76
63,3.0179836722045,4.878916341613,6.4621351159455,0.745575221238938,0.6650572639462693,0.9213483146067416,0.3644859813084112,0.6111111111111112,0.7916666666666666,0.8282828282828283,0.582089552238806,0.5238095238095238,0.76
64,3.1140390614925,4.878916341613,6.4621351159455,0.754424778761062,0.6650425648683489,0.9133574007220217,0.3711340206185567,0.6111111111111112,0.7916666666666666,0.8518518518518519,0.5373134328358209,0.5238095238095238,0.76
65,2.9573479003565,4.9254948908195,6.4621351159455,0.7433628318584071,0.6650019311719211,0.9242424242424242,0.36607142857142855,0.6153846153846154,0.7916666666666666,0.8215488215488216,0.6119402985074627,0.5079365079365079,0.76
66,3.1750278371545,4.905160815295,6.4621351159455,0.7588495575221239,0.6648842629088048,0.9049295774647887,0.37362637362637363,0.6226415094339622,0.7916666666666666,0.8653198653198653,0.5074626865671642,0.5238095238095238,0.76
67,3.1140390614925,4.9254948908195,6.4621351159455,0.754424778761062,0.6648370441968711,0.9133574007220217,0.37373737373737376,0.6153846153846154,0.7916666666666666,0.8518518518518519,0.5522388059701493,0.5079365079365079,0.76
68,2.6383220225299997,4.905160815295,6.4621351159455,0.7278761061946902,0.6647388398330155,0.9392712550607287,0.3515625,0.6226415094339622,0.7916666666666666,0.7811447811447811,0.6716417910447762,0.5238095238095238,0.76
